Aaindex_1,Aaindex_2,Aaindex_3,Aaindex_4,Aaindex_5,Aaindex_6,Aaindex_7,Aaindex_8,Aaindex_9,Aaindex_10,Aaindex_11,Aaindex_12,Aaindex_13,Aaindex_14,Aaindex_15,Aaindex_16,Aaindex_17,Aaindex_18,Aaindex_19,Aaindex_20,Aaindex_21,Aaindex_22,Aaindex_23,Aaindex_24,Aaindex_25,Aaindex_26,Aaindex_27,Aaindex_28,Aaindex_29,Aaindex_30,Aaindex_31,Aaindex_32,Aaindex_33,Aaindex_34,Aaindex_35,Aaindex_36,Aaindex_37,Aaindex_38,Aaindex_39,Aaindex_40,Aaindex_41,Aaindex_42,Aaindex_43,Aaindex_44,Aaindex_45,Aaindex_46,Aaindex_47,Aaindex_48,Aaindex_49,Aaindex_50,Aaindex_51,Aaindex_52,Aaindex_53,Aaindex_54,Aaindex_55,Aaindex_56,Aaindex_57,Aaindex_58,Aaindex_59,Aaindex_60,Aaindex_61,Aaindex_62,Aaindex_63,Aaindex_64,Aaindex_65,Aaindex_66,Aaindex_67,Aaindex_68,Aaindex_69,Aaindex_70,Aaindex_71,Aaindex_72,Aaindex_73,Aaindex_74,Aaindex_75,Aaindex_76,Aaindex_77,Aaindex_78,Aaindex_79,Aaindex_80,Aaindex_81,Aaindex_82,Aaindex_83,Aaindex_84,Aaindex_85,Aaindex_86,Aaindex_87,Aaindex_88
1.43,0.63,0.93,0.95,1.3,0.8,0.93,1.03,1.02,0.87,1.04,0.71,1.3,0.93,1.43,1.3,0.71,0.9,1.3,0.63,0.95,0.93,-0.41,0.28,0.06,-0.1,-0.43,-0.26,0.06,0.15,-0.31,0.29,0.14,0.09,-0.43,0.06,-0.41,-0.43,0.09,0,-0.1,-0.21,-0.1,0.06,0.135,0.136,0.083,0.1,0.175,0.152,0.083,0.201,0.14,0.1,0.093,0.081,0.175,0.083,0.135,0.175,0.081,0.09,0.104,0.201,0.1,0.083,0.63,1.34,0,0.14,0.69,0.28,0,0,2.42,0.43,1.44,1.53,0.69,0,0.63,0.69,1.53,1.52,0,2.64,0.14,0
1.33,0.8,1.23,0.63,1.03,0.87,0.93,1.3,0.93,1.3,0.93,1.43,0.71,1.03,1.04,0.9,1.3,0.93,0.87,1.3,0.78,0.63,0.21,-0.26,0.33,0.28,0.15,0.29,0.06,-0.43,0.06,-0.43,0.06,-0.41,0.09,0.15,0.14,0,-0.1,0.06,0.29,-0.43,-0.23,-0.21,0.125,0.152,0.058,0.136,0.201,0.1,0.083,0.175,0.083,0.175,0.083,0.135,0.081,0.201,0.093,0.09,0.104,0.083,0.1,0.175,0.155,0.201,0.22,0.28,1.18,1.34,0,0.43,0,0.69,0,0.69,0,0.63,1.53,0,1.44,1.52,0,0,0.43,0.69,1.43,2.64
0.78,1.3,1.33,1.43,1.3,1.3,1.3,0.93,1.43,1.3,0.8,1.3,1.3,0.9,0.8,1.23,1.3,1.02,1.3,0.78,0.78,1.3,-0.23,-0.1,0.21,-0.41,-0.1,-0.1,-0.43,0.06,-0.41,-0.1,-0.26,-0.43,-0.1,0,-0.26,0.33,-0.1,-0.31,-0.1,-0.23,-0.23,-0.1,0.155,0.104,0.125,0.135,0.104,0.104,0.175,0.083,0.135,0.104,0.152,0.175,0.104,0.09,0.152,0.058,0.104,0.14,0.104,0.155,0.155,0.104,1.43,0,0.22,0.63,0,0,0.69,0,0.63,0,0.28,0.69,0,1.52,0.28,1.18,0,2.42,0,1.43,1.43,0
0.63,1.3,0.8,1.3,1.04,1.04,1.3,1.3,0.93,1.33,1.3,0.63,1.03,0.9,1.33,1.09,1.3,1.02,0.93,1.3,0.95,0.95,-0.21,-0.1,-0.26,-0.43,0.14,0.14,-0.43,-0.43,0.06,0.21,-0.43,-0.21,0.15,0,0.21,0.25,-0.1,-0.31,0.06,-0.1,-0.1,-0.1,0.201,0.104,0.152,0.175,0.093,0.093,0.175,0.175,0.083,0.125,0.175,0.201,0.201,0.09,0.125,0.14,0.104,0.14,0.083,0.104,0.1,0.1,2.64,0,0.28,0.69,1.44,1.44,0.69,0.69,0,0.22,0.69,2.64,0,1.52,0.22,2.2,0,2.42,0,0,0.14,0.14
0.93,0.78,1.3,1.09,0.95,1.33,1.23,0.95,1.02,0.63,0.93,1.02,1.3,1.33,0.78,0.8,1.3,1.3,0.78,1.23,1.23,1.43,0.06,-0.23,-0.1,0.25,-0.1,0.21,0.33,-0.1,-0.31,0.28,0.06,-0.31,-0.43,0.21,-0.23,-0.26,-0.1,-0.1,-0.23,0.33,0.33,-0.41,0.083,0.155,0.104,0.14,0.1,0.125,0.058,0.1,0.14,0.136,0.083,0.14,0.175,0.125,0.155,0.152,0.104,0.104,0.155,0.058,0.058,0.135,0,1.43,0,2.2,0.14,0.22,1.18,0.14,2.42,1.34,0,2.42,0.69,0.22,1.43,0.28,0,0,1.43,1.18,1.18,0.63
1.3,0.63,0.63,0.9,0.87,0.71,1.43,1.3,0.93,0.8,0.71,1.3,1.23,0.63,0.63,0.8,1.32,0.87,1.43,1.03,0.63,0.9,-0.43,-0.21,0.28,0,0.29,0.09,-0.41,-0.1,0.06,-0.26,0.09,-0.1,0.33,0.28,-0.21,-0.26,-0.01,0.29,-0.41,0.15,-0.21,0,0.175,0.201,0.136,0.09,0.1,0.081,0.135,0.104,0.083,0.152,0.081,0.104,0.058,0.136,0.201,0.152,0.054,0.1,0.135,0.201,0.201,0.09,0.69,2.64,1.34,1.52,0.43,1.53,0.63,0,0,0.28,1.53,0,1.18,1.34,2.64,0.28,0.88,0.43,0.63,0,2.64,1.52
0.63,0.95,0.8,1.3,0.93,0.78,0.95,1.3,0.93,1.02,1.43,0.63,1.3,1.3,1.09,0.93,1.3,1.33,1.3,0.93,0.71,0.93,0.28,-0.1,-0.26,-0.1,0.06,-0.23,-0.1,-0.1,0.06,-0.31,-0.41,-0.21,-0.43,-0.1,0.25,0.06,-0.43,0.21,-0.43,0.06,0.09,0.06,0.136,0.1,0.152,0.104,0.083,0.155,0.1,0.104,0.083,0.14,0.135,0.201,0.175,0.104,0.14,0.083,0.175,0.125,0.175,0.083,0.081,0.083,1.34,0.14,0.28,0,0,1.43,0.14,0,0,2.42,0.63,2.64,0.69,0,2.2,0,0.69,0.22,0.69,0,1.53,0
1.03,1.23,0.78,1.43,1.09,0.71,1.3,1.02,1.43,0.87,0.78,0.93,1.3,1.04,1.3,1.33,0.63,1.23,1.43,1.23,0.63,1.04,0.15,0.33,-0.23,-0.41,0.25,0.09,-0.43,-0.31,-0.41,0.29,-0.23,0.06,-0.1,0.14,-0.43,0.21,-0.21,0.33,-0.41,0.33,0.28,0.14,0.201,0.058,0.155,0.135,0.14,0.081,0.175,0.14,0.135,0.1,0.155,0.083,0.104,0.093,0.175,0.125,0.201,0.058,0.135,0.058,0.136,0.093,0,1.18,1.43,0.63,2.2,1.53,0.69,2.42,0.63,0.43,1.43,0,0,1.44,0.69,0.22,2.64,1.18,0.63,1.18,1.34,1.44
1.43,1.3,1.43,0.63,0.87,0.93,0.63,1.3,0.63,0.8,1.03,0.78,1.43,0.93,0.95,0.87,0.8,0.78,0.93,1.04,0.63,0.63,-0.41,-0.1,-0.41,-0.21,0.29,0.06,-0.21,-0.43,-0.21,-0.26,0.15,-0.23,-0.41,0.06,-0.1,0.29,-0.26,-0.23,0.06,0.14,-0.21,0.28,0.135,0.104,0.135,0.201,0.1,0.083,0.201,0.175,0.201,0.152,0.201,0.155,0.135,0.083,0.1,0.1,0.152,0.155,0.083,0.093,0.201,0.136,0.63,0,0.63,2.64,0.43,0,2.64,0.69,2.64,0.28,0,1.43,0.63,0,0.14,0.43,0.28,1.43,0,1.44,2.64,1.34
0.71,0.93,1.33,1.3,1.02,1.32,1.3,1.02,1.3,1.43,1.3,1.3,1.23,1.43,1.3,1.04,1.23,1.33,0.93,1.3,0.93,1.3,0.09,0.06,0.21,-0.1,-0.31,-0.01,-0.43,-0.31,-0.1,-0.41,-0.43,-0.1,0.33,-0.41,-0.43,0.14,0.33,0.21,0.06,-0.1,0.06,-0.1,0.081,0.083,0.125,0.104,0.14,0.054,0.175,0.14,0.104,0.135,0.175,0.104,0.058,0.135,0.175,0.093,0.058,0.125,0.083,0.104,0.083,0.104,1.53,0,0.22,0,2.42,0.88,0.69,2.42,0,0.63,0.69,0,1.18,0.63,0.69,1.44,1.18,0.22,0,0,0,0
0.87,0.63,0.63,0.8,1.23,1.32,0.87,1.09,1.3,0.63,0.87,1.23,1.23,0.78,1.43,0.93,1.43,1.02,1.3,0.87,1.23,0.71,0.29,0.28,-0.21,-0.26,0.33,-0.01,0.29,0.25,-0.43,-0.21,0.29,0.33,0.33,-0.23,-0.41,0.06,-0.41,-0.31,-0.1,0.29,0.33,0.09,0.1,0.136,0.201,0.152,0.058,0.054,0.1,0.14,0.175,0.201,0.1,0.058,0.058,0.155,0.135,0.083,0.135,0.14,0.104,0.1,0.058,0.081,0.43,1.34,2.64,0.28,1.18,0.88,0.43,2.2,0.69,2.64,0.43,1.18,1.18,1.43,0.63,0,0.63,2.42,0,0.43,1.18,1.53
0.95,1.3,0.63,0.63,1.23,1.3,1.33,1.43,0.95,0.93,0.87,1.32,0.95,1.3,0.8,0.63,0.95,0.92,0.93,0.78,1.02,1.02,-0.1,-0.43,0.28,0.28,0.33,-0.43,0.21,-0.41,-0.1,0.06,0.29,-0.01,-0.1,-0.43,-0.26,-0.21,-0.1,0.19,0.06,-0.23,-0.31,-0.31,0.1,0.175,0.136,0.136,0.058,0.175,0.125,0.135,0.1,0.083,0.1,0.054,0.1,0.175,0.152,0.201,0.1,0.074,0.083,0.155,0.14,0.14,0.14,0.69,1.34,1.34,1.18,0.69,0.22,0.63,0.14,0,0.43,0.88,0.14,0.69,0.28,2.64,0.14,0,0,1.43,2.42,2.42
0.78,0.95,0.63,1.23,1.3,0.95,1.3,1.02,1.09,1.32,1.3,1.23,1.09,0.63,1.3,1.02,0.63,1.3,0.87,0.8,1.33,0.95,-0.23,-0.1,0.28,0.33,-0.1,-0.1,-0.43,-0.31,0.25,-0.01,-0.43,0.33,0.25,0.28,-0.1,-0.31,0.28,-0.1,0.29,-0.26,0.21,-0.1,0.155,0.1,0.136,0.058,0.104,0.1,0.175,0.14,0.14,0.054,0.175,0.058,0.14,0.136,0.104,0.14,0.136,0.104,0.1,0.152,0.125,0.1,1.43,0.14,1.34,1.18,0,0.14,0.69,2.42,2.2,0.88,0.69,1.18,2.2,1.34,0,2.42,1.34,0,0.43,0.28,0.22,0.14
0.9,0.63,1.23,0.63,0.71,0.95,1.3,0.63,0.78,0.95,0.93,1.3,1.43,1.3,1.04,0.87,1.3,1.3,1.23,0.9,1.3,1.02,0,-0.21,0.33,0.28,0.09,-0.1,-0.1,0.28,-0.23,-0.1,0.06,-0.43,-0.41,-0.43,0.14,0.29,-0.43,-0.43,0.33,0,-0.1,-0.31,0.09,0.201,0.058,0.136,0.081,0.1,0.104,0.136,0.155,0.1,0.083,0.175,0.135,0.175,0.093,0.1,0.175,0.175,0.058,0.09,0.104,0.14,1.52,2.64,1.18,1.34,1.53,0.14,0,1.34,1.43,0.14,0,0.69,0.63,0.69,1.44,0.43,0.69,0.69,1.18,1.52,0,2.42
1.43,1.3,1.3,1.3,0.63,1.43,0.9,0.9,1.43,0.95,1.3,0.78,0.63,0.93,1.09,0.95,0.8,0.95,1.04,0.8,0.87,0.78,-0.41,-0.1,-0.43,-0.1,-0.21,-0.41,0,0,-0.41,-0.1,-0.1,-0.23,-0.21,0.06,0.25,-0.1,-0.26,-0.1,0.14,-0.26,0.29,-0.23,0.135,0.104,0.175,0.104,0.201,0.135,0.09,0.09,0.135,0.1,0.104,0.155,0.201,0.083,0.14,0.1,0.152,0.1,0.093,0.152,0.1,0.155,0.63,0,0.69,0,2.64,0.63,1.52,1.52,0.63,0.14,0,1.43,2.64,0,2.2,0.14,0.28,0.14,1.44,0.28,0.43,1.43
0.63,0.8,0.63,0.95,1.02,0.63,0.93,0.63,1.43,1.04,1.03,1.43,0.87,1.3,0.78,0.95,0.95,1.23,1.23,1.23,0.9,1.3,0.28,-0.26,-0.21,-0.1,-0.31,0.28,0.06,0.28,-0.41,0.14,0.15,-0.41,0.29,-0.43,-0.23,-0.1,-0.1,0.33,0.33,0.33,0,-0.1,0.136,0.152,0.201,0.1,0.14,0.136,0.083,0.136,0.135,0.093,0.201,0.135,0.1,0.175,0.155,0.1,0.1,0.058,0.058,0.058,0.09,0.104,1.34,0.28,2.64,0.14,2.42,1.34,0,1.34,0.63,1.44,0,0.63,0.43,0.69,1.43,0.14,0.14,1.18,1.18,1.18,1.52,0
0.63,1.43,0.93,0.95,0.63,1.3,1.09,0.8,0.95,0.95,0.92,1.02,1.3,1.43,1.43,1.3,1.23,0.93,0.95,1.43,0.78,1.04,-0.21,-0.41,0.06,-0.1,-0.21,-0.43,0.25,-0.26,-0.1,-0.1,0.19,-0.31,-0.43,-0.41,-0.41,-0.43,0.33,0.06,-0.1,-0.41,-0.23,0.14,0.201,0.135,0.083,0.1,0.201,0.175,0.14,0.152,0.1,0.1,0.074,0.14,0.175,0.135,0.135,0.175,0.058,0.083,0.1,0.135,0.155,0.093,2.64,0.63,0,0.14,2.64,0.69,2.2,0.28,0.14,0.14,0,2.42,0.69,0.63,0.63,0.69,1.18,0,0.14,0.63,1.43,1.44
1.3,1.43,1.43,1.3,1.23,0.93,0.95,1.43,0.78,1.04,1.3,0.87,1.3,0.87,0.93,0.63,1.3,0.71,0.78,0.9,0.63,0.63,-0.43,-0.41,-0.41,-0.43,0.33,0.06,-0.1,-0.41,-0.23,0.14,-0.1,0.29,-0.1,0.29,0.06,0.28,-0.1,0.09,-0.23,0,0.28,0.28,0.175,0.135,0.135,0.175,0.058,0.083,0.1,0.135,0.155,0.093,0.104,0.1,0.104,0.1,0.083,0.136,0.104,0.081,0.155,0.09,0.136,0.136,0.69,0.63,0.63,0.69,1.18,0,0.14,0.63,1.43,1.44,0,0.43,0,0.43,0,1.34,0,1.53,1.43,1.52,1.34,1.34
0.87,0.78,1.32,0.93,0.8,1.04,1.3,0.95,0.78,0.9,1.3,1.23,1.43,0.63,0.78,0.78,1.33,0.9,1.03,1.04,1.33,0.87,0.29,-0.23,-0.01,0.06,-0.26,0.14,-0.1,-0.1,-0.23,0,-0.1,0.33,-0.41,-0.21,-0.23,-0.23,0.21,0,0.15,0.14,0.21,0.29,0.1,0.155,0.054,0.083,0.152,0.093,0.104,0.1,0.155,0.09,0.104,0.058,0.135,0.201,0.155,0.155,0.125,0.09,0.201,0.093,0.125,0.1,0.43,1.43,0.88,0,0.28,1.44,0,0.14,1.43,1.52,0,1.18,0.63,2.64,1.43,1.43,0.22,1.52,0,1.44,0.22,0.43
1.02,1.3,0.63,1.23,0.63,0.63,0.9,1.43,1.43,0.78,0.8,0.8,0.63,0.9,1.3,0.63,0.78,0.93,1.3,1.3,0.92,0.63,-0.31,-0.1,-0.21,0.33,-0.21,-0.21,0,-0.41,-0.41,-0.23,-0.26,-0.26,-0.21,0,-0.43,-0.21,-0.23,0.06,-0.1,-0.43,0.19,-0.21,0.14,0.104,0.201,0.058,0.201,0.201,0.09,0.135,0.135,0.155,0.152,0.152,0.201,0.09,0.175,0.201,0.155,0.083,0.104,0.175,0.074,0.201,2.42,0,2.64,1.18,2.64,2.64,1.52,0.63,0.63,1.43,0.28,0.28,2.64,1.52,0.69,2.64,1.43,0,0,0.69,0,2.64
0.78,0.8,0.87,0.63,0.87,0.8,1.3,1.43,0.95,1.09,1.23,1.33,0.63,0.95,0.71,0.9,0.63,0.9,1.23,0.87,1.09,0.63,-0.23,-0.26,0.29,0.28,0.29,-0.26,-0.43,-0.41,-0.1,0.25,0.33,0.21,-0.21,-0.1,0.09,0,0.28,0,0.33,0.29,0.25,-0.21,0.155,0.152,0.1,0.136,0.1,0.152,0.175,0.135,0.1,0.14,0.058,0.125,0.201,0.1,0.081,0.09,0.136,0.09,0.058,0.1,0.14,0.201,1.43,0.28,0.43,1.34,0.43,0.28,0.69,0.63,0.14,2.2,1.18,0.22,2.64,0.14,1.53,1.52,1.34,1.52,1.18,0.43,2.2,2.64
0.87,0.95,0.93,1.3,0.9,0.8,1.09,0.95,1.3,1.43,1.3,0.63,1.3,1.02,0.63,1.3,0.93,0.95,0.9,0.95,0.63,0.95,0.29,-0.1,0.06,-0.43,0,-0.26,0.25,-0.1,-0.43,-0.41,-0.1,-0.21,-0.1,-0.31,0.28,-0.43,0.06,-0.1,0,-0.1,0.28,-0.1,0.1,0.1,0.083,0.175,0.09,0.152,0.14,0.1,0.175,0.135,0.104,0.201,0.104,0.14,0.136,0.175,0.083,0.1,0.09,0.1,0.136,0.1,0.43,0.14,0,0.69,1.52,0.28,2.2,0.14,0.69,0.63,0,2.64,0,2.42,1.34,0.69,0,0.14,1.52,0.14,1.34,0.14
0.63,0.93,0.87,1.04,1.43,1.3,0.63,0.8,1.43,0.95,0.95,1.3,1.23,1.3,0.63,1.3,0.63,0.78,1.3,0.8,1.3,0.78,-0.21,0.06,0.29,0.14,-0.41,-0.43,-0.21,-0.26,-0.41,-0.1,-0.1,-0.43,0.33,-0.43,-0.21,-0.43,-0.21,-0.23,-0.43,-0.26,-0.1,-0.23,0.201,0.083,0.1,0.093,0.135,0.175,0.201,0.152,0.135,0.1,0.1,0.175,0.058,0.175,0.201,0.175,0.201,0.155,0.175,0.152,0.104,0.155,2.64,0,0.43,1.44,0.63,0.69,2.64,0.28,0.63,0.14,0.14,0.69,1.18,0.69,2.64,0.69,2.64,1.43,0.69,0.28,0,1.43
0.92,0.8,0.71,1.09,0.78,0.8,0.63,1.3,1.3,1.3,0.63,1.23,0.63,1.3,1.43,1.23,0.9,1.3,0.63,0.87,0.63,1.23,0.19,-0.26,0.09,0.25,-0.23,-0.26,0.28,-0.1,-0.1,-0.1,-0.21,0.33,-0.21,-0.1,-0.41,0.33,0,-0.1,-0.21,0.29,-0.21,0.33,0.074,0.152,0.081,0.14,0.155,0.152,0.136,0.104,0.104,0.104,0.201,0.058,0.201,0.104,0.135,0.058,0.09,0.104,0.201,0.1,0.201,0.058,0,0.28,1.53,2.2,1.43,0.28,1.34,0,0,0,2.64,1.18,2.64,0,0.63,1.18,1.52,0,2.64,0.43,2.64,1.18
1.3,0.63,0.87,0.63,1.23,0.87,0.8,0.63,1.09,1.43,1.43,1.32,0.87,1.3,1.43,1.3,0.87,0.63,1.43,1.3,1.23,1.3,-0.1,-0.21,0.29,-0.21,0.33,0.29,-0.26,0.28,0.25,-0.41,-0.41,-0.01,0.29,-0.43,-0.41,-0.43,0.29,0.28,-0.41,-0.1,0.33,-0.43,0.104,0.201,0.1,0.201,0.058,0.1,0.152,0.136,0.14,0.135,0.135,0.054,0.1,0.175,0.135,0.175,0.1,0.136,0.135,0.104,0.058,0.175,0,2.64,0.43,2.64,1.18,0.43,0.28,1.34,2.2,0.63,0.63,0.88,0.43,0.69,0.63,0.69,0.43,1.34,0.63,0,1.18,0.69
